Ticker,Market Capitalization,Total Debt,Cash and Cash Equivalents,Enterprise Value,EBITDA,Total Revenue,Gross Profit,Operating Revenue,Operating Income,Net Income,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Stock Price Change
FANG,16.25719282401738,6.61545696817683,270.70063694267515,13.118554679031059,-14.6513558384062,-12.765736803899202,-28.135143110061968,-12.826677817269497,-29.760809567617297,-28.340173278613772,-55.530973451327434,-25.259792166266987,-39.680944604949126,-32.77518172377986,,30.47329089399391,18.39727261290935
DASH,84.3482689092024,2.152641878669276,34.344967121901874,86.26616720278977,-89.74358974358975,31.171198541698313,35.09181969949917,31.171198541698313,-44.08914728682171,-59.120879120879124,6323.809523809524,87.5,,,,-6.358381502890173,112.06119647791044
EA,17.866077212011973,0.10277492291880781,19.636963696369637,16.658322805078807,6.822916666666666,1.831403178023162,3.8693645722399714,1.831403178023162,9.494109494109495,58.728179551122196,57.55770662695458,0.3861003861003861,,,-3.75,-3.864734299516908,23.61111691428052
EXC,11.788945439867408,9.882646691635456,9.336609336609335,10.789202192491762,10.62020905923345,13.885103260299822,11.14292828685259,13.885103260299822,20.982815797407294,7.281105990783409,18.796662274923147,,-39.09879652952701,-27.57417102966841,-75.13321492007104,3.6518819084930736,7.479216979294747
FAST,35.083777313586374,-33.300087270913856,-3.824424163407214,33.58870077183115,4.856214360169232,5.244534853737501,4.313079171590273,5.244534853737501,5.1664832140891574,6.265525807341982,64.22054223149114,-100.0,-27.914110429447852,-50.974930362116986,,-0.5753739930955121,38.430258317954895
FTNT,28.524810429768888,0.19184168012924072,-16.93505258779488,29.597376447837675,36.21265540916682,20.08873998279531,22.058514628657164,20.08873998279531,28.001237623762375,33.885454333372216,19.456326755898992,-24.643431096826035,,,67.81609195402298,-27.418207681365576,39.80823560090626
GEHC,35.813537639105235,14.221192819918935,73.19444444444444,29.4947974650416,8.72794800371402,6.602693419115642,10.349630867808887,6.602693419115642,-3.44964314036479,-18.16283924843424,-4.936217415418747,,28400.0,-75.53061722371311,,24.838709677419356,38.240042845484965
GILD,16.120276235171772,-0.9631391200951248,12.435328898743533,12.341657090381272,18.572074107546317,-0.6048165389831751,-4.652238253792083,-0.6048165389831751,-19.71933661381447,23.36672473867596,-11.061840843720038,-28.36676217765043,50.0,,-24.919093851132686,-19.642857142857142,18.248800498883654
GFS,-28.88279780482667,-3.571428571428571,1.488095238095238,-28.856331261213438,-18.817369879889128,-8.830784410458806,-6.163465832961143,-8.830784410458806,-4.8374306106264875,-29.55801104972376,-173.79310344827584,,-21.794871794871796,-95.26261585993821,-75.0,-41.026479241582216,-23.622522443543286
HON,12.180903574922871,4.864391098992063,-17.67944323257505,13.228620867115284,13.792672252094535,3.372243839169909,4.177147648448814,3.372243839169909,6.845827439886845,13.934756343133307,-4.591836734693878,-11.547619047619047,49.49985432650286,50.52760504993405,-38.75,35.639686684073105,16.139135051704002
IDXX,17.234663040683486,-27.39258234338957,303.3301938762817,14.633848968699684,20.35473891255572,8.719950916514122,9.261511780947124,8.719950916514122,22.070619127358096,24.437592127099688,101.19407725187818,-91.2261760547315,-0.0,,,-15.869628174618164,13.79701049541655
ILMN,-1.944965449494301,-36.371308016877634,-47.886623570363,-3.269717857839169,-84.47395301327886,-1.7452006980802792,-7.671601615074024,-1.7452006980802792,-162.71186440677968,-73.63760217983652,-481.08108108108104,,,-100.0,6.349206349206349,-57.93991416309014,40.719831520903384
INTC,-30.113556808022206,17.309019925250553,-36.477027997128495,-18.359542746086028,-47.21817925724213,-13.997525930155104,-19.18782103774287,-13.997525930155104,-98.67294520547945,-78.92438233092088,48.47665592180513,,-16.250703696753614,8.55808634327647,,2.7944111776447107,-36.47248308902812
INTU,21.820960487110362,-1.8238899686051726,26.72050561797753,20.642258211259275,12.915129151291513,13.342149220489977,14.209354120267262,13.342149220489977,22.962258166825244,24.286912751677853,-3.175929795236105,1.0676156583629894,319.08914728682174,1808.1081081081081,,-3.8461538461538463,28.168812655180687
ISRG,65.01704371787179,,73.92486718947634,,12.646044572546195,14.4948731959757,12.714489990467111,14.4948731959757,12.028406569019086,35.975194736444074,-21.786310517529213,-84.03390350540768,,,,99.88730277986477,98.75818752803947
KDP,20.115162763437336,9.136420525657071,-50.09345794392524,18.13587936615691,27.298942646587633,5.385217329444405,10.337293458964906,5.385217329444405,14.768235716852319,51.88022284122563,-65.50040683482507,86.2796833773087,713.9450374744492,779.942829919009,,26.912928759894463,12.800335474176835
KLAC,69.17074895971619,12.477231239563974,2.5553656506031284,65.91499664855888,-13.290284483641518,-6.51491379238068,-6.2693650223989525,-6.51491379238068,-8.987217049808045,-18.4626471351472,-8.9243960875112,32.311428623698795,-100.0,145.01433333333333,16.08929329499307,-18.796455410124974,51.87691016109799
KHC,9.44795649645034,-0.18933731938216244,34.61538461538461,5.655216467775169,14.232365145228215,0.585236926562205,9.899039645407536,0.585236926562205,10.32793867120954,20.82099026661024,90.79201545396008,62.5,-41.051388068517426,239.07563025210084,,10.58951965065502,11.679080039474314
LRCX,33.62153651317457,-0.5628408507483027,9.570819567941577,33.08545981972335,-12.999884358287822,-14.477021451510847,-9.31131520491711,-14.477021451510847,-17.920418017216758,-15.144523381093613,-9.01726825117534,40.94150158749675,1003.6111350512799,,39.978399783997844,-20.914013653183616,35.63513582042649
LIN,27.707206886692248,8.110265552658188,-14.201618837380428,26.983169989033524,22.636016864083516,-1.5285936938017026,10.406784533563318,-1.5285936938017026,23.473196953859937,49.481552929828794,-3.0398875417325604,-23.413312693498455,-5.7703081232493,-31.838006230529597,-8.333333333333332,19.350772139930665,26.48182310889598
LULU,-28.011967895411317,31.106925501759264,94.30557804491772,-29.603088185296695,28.178798889159793,18.602510961691966,24.86599411442589,18.602510961691966,27.867711849727222,81.35119326158166,401.6073531295949,25.82223913910104,,,,2.068089757099664,-22.43777763790284
MAR,21.651216852888343,14.975671292124707,-33.33333333333333,20.99937788921602,11.081863648328508,14.152987050498242,12.417727073277755,17.31864095500459,12.953367875647666,30.746395250212043,33.825701624815366,54.05300077942322,-14.925373134328357,95.11698880976603,,36.144578313253014,41.93310607633072
